Species,Cov,Effect Size,2.5,97.5
Great Curassow,Intercept,3.06480046,1.4477865,5.63115545
Great Curassow,Logging,0.34792866,-0.6624044,1.63376289
Great Curassow,Roads,-0.50983855,-1.2287526,-0.05760307
Great Curassow,Biomass,-0.99843394,-1.9962606,-0.32648367
Great Curassow,Streams,-0.16381925,-0.7682806,0.3639818
Great Curassow,NDVI,-0.39450919,-1.3795507,0.22541266
Great Curassow,Season,-0.07953331,-1.0799491,1.00503494
Great Curassow,Nat_Disturb,-1.04038331,-2.4610451,0.208379
Great Curassow,Site,2.57649579,0.1727396,5.9743043
Agouti,Intercept,1.0468433,-0.354799,2.6412594
Agouti,Logging,0.2128986,-1.0363454,1.6214834
Agouti,Roads,-0.1150279,-0.910944,0.6298629
Agouti,Biomass,0.3668004,-0.5009237,1.5770213
Agouti,Streams,-0.4994882,-1.3923017,0.1646438
Agouti,NDVI,-1.3242653,-3.0812596,-0.2034373
Agouti,Season,-0.288464,-1.5801166,0.964222
Agouti,Nat_Disturb,-1.6879693,-3.6421851,-0.1557616
Agouti,Site,4.4402018,1.4495196,8.6537179
Gray Fox,Intercept,1.4074078,0.2243283,3.003511
Gray Fox,Logging,1.2913395,0.1927457,2.9529796
Gray Fox,Roads,-1.0790553,-2.1679767,-0.3852043
Gray Fox,Biomass,-1.1212406,-2.1647035,-0.3822997
Gray Fox,Streams,0.1549848,-0.3832778,0.7757762
Gray Fox,NDVI,0.2708937,-0.2670269,1.0025602
Gray Fox,Season,0.224857,-0.7713215,1.4094931
Gray Fox,Nat_Disturb,-1.4279816,-3.0144573,-0.1435876
Gray Fox,Site,3.3042912,0.4682754,6.6971136
