pointid,point_id,long,lat
south10,s10,-77.897,40.6954
south9,s09,-77.8918,40.7072
south8,s08,-77.8825,40.7229
south7,s07,-77.8822,40.7297
south6,s06,-77.878,40.7405
south5,s05,-77.8707,40.7542
south4,s04,-77.8754,40.756
south3,s03,-77.8662,40.7718
south2,s02,-77.8609,40.7835
south1,s01,-77.8706,40.7803
west10,w10,-77.9837,40.808
west9,w09,-77.968,40.8103
west8,w08,-77.9553,40.8096
west7,w07,-77.9505,40.8009
west6,w06,-77.9458,40.7922
west5,w05,-77.921,40.8035
west4,w04,-77.9073,40.8038
west3,w03,-77.8946,40.8031
west2,w02,-77.8888,40.7955
west1,w01,-77.8721,40.7988
center,center,-77.8634,40.7941
east1,e01,-77.8587,40.7854
east2,e02,-77.8409,40.7897
east3,e03,-77.8322,40.785
east4,e04,-77.8215,40.7823
east5,e05,-77.8067,40.7836
east6,e06,-77.8,40.7769
east7,e07,-77.7743,40.7892
east8,e08,-77.7735,40.7765
east9,e09,-77.7538,40.7828
east10,e10,-77.7491,40.7741
north1,n01,-77.8721,40.7918
north2,n02,-77.8618,40.8086
north3,n03,-77.8546,40.8224
north4,n04,-77.8563,40.8271
north5,n05,-77.858,40.8319
north6,n06,-77.8568,40.8397
north7,n07,-77.8575,40.8454
north8,n08,-77.8372,40.8722
north9,n09,-77.842,40.874
north10,n10,-77.8527,40.8697
