"site","Date.Placement","Days","Last.Record","Northing","Easting"
"601H",2016-01-09,106,2016-04-25,1956096,291628
"601I",2016-04-21,14,2016-05-06,1955672.809,291732.9954
"601J",2016-07-05,61,2016-09-05,1955892.942,292495.3321
"602H",2016-01-09,106,2016-04-25,1956524,289220
"602I",2016-04-21,9,2016-05-01,1956768.973,290526.9986
"602J",2016-07-05,15,2016-07-21,1956615.659,290333.1831
"602K",2016-09-08,7,2016-09-16,1956808.685,290536.9232
"603H",2016-01-09,98,2016-04-17,1957175,291306
"603J",2016-07-05,64,2016-09-08,1958198.757,291879.4716
"603K",2016-09-08,90,2016-12-08,1956871.59,291402.3767
"604H",2016-01-09,48,2016-02-27,1956298,290315
"604I",2016-04-21,52,2016-06-13,1956331.672,290480.2899
"605H",2016-01-09,9,2016-01-19,1955929,290556
"605I",2016-04-21,75,2016-07-06,1955489.141,290611.8585
"605J",2016-07-05,64,2016-09-08,1956001.528,290563.1678
"605K",2016-09-08,20,2016-09-29,1955898.961,290971.0612
"606J",2016-07-05,64,2016-09-08,1957370.317,291303.9147
"606K",2016-09-08,71,2016-11-19,1956184.801,291489.0159
"607A",2016-02-29,82,2016-05-22,1934993.94,283483
"607C",2016-07-30,83,2016-10-22,1934601.873,283500.6742
"608A",2016-02-29,37,2016-04-07,1934506,282740
"608B",2016-05-20,4,2016-05-25,1934169.97,281332.8739
"608C",2016-07-30,58,2016-09-27,1934429.576,280789.7606
"609A",2016-02-29,77,2016-05-17,1935382.07,283730
"609B",2016-05-20,71,2016-07-31,1935420.408,283663.8286
"609C",2016-07-30,83,2016-10-22,1935217.603,283820.4245
"610A",2016-02-29,75,2016-05-15,1935522.766,282719
"610B",2016-05-20,11,2016-06-01,1935159.596,282106.5015
"610C",2016-07-30,83,2016-10-22,1935517.445,282719.2885
"611A",2016-02-29,19,2016-03-20,1935456.716,282087
"611B",2016-05-20,24,2016-06-14,1935222.93,281920.4348
"611C",2016-07-30,67,2016-10-06,1935654.01,282177.5093
"612A",2016-02-29,2,2016-04-12,1934690.881,283335
"612C",2016-07-30,6,2016-08-06,1934535.869,282367.739
"614H",2016-01-09,46,2016-02-25,1957350,291319
"614I",2016-04-21,75,2016-07-06,1958138.327,292555.7272
"614J",2016-07-05,64,2016-09-08,1956457.678,291329.298
"604J",2016-07-05,61,2016-09-05,1956539.964,289340.9825
